,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
0,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
324,Darlik,TOP,38,47.4%,2.7,3.2,3,4.9,7.7,379,23.6,458,1.01,0.50,0.15,0.19,-144,-5,34,7.9%,7.9%,0,14
325,Darrys,TOP,9,33.3%,1.6,2.3,3.8,3.8,7.3,351,19.4,343,0.99,0.53,0.15,0.21,-19,-10,-407,33.3%,11.1%,0,-
326,Darshan,TOP,46,58.7%,3.1,2.3,2.2,4.5,7.9,388,22.2,411,1.04,0.57,0.12,0.27,498,7,243,30.4%,0%,0,20
327,Dasher,MID,48,54.2%,4.5,4.8,2,4.4,9.2,428,35.4,634,1.12,0.43,0.27,0.17,630,10,305,29.2%,6.3%,0,23
328,Dawidsonek,ADC,2,0%,1.6,5,4,1.5,7.7,383,22.5,381,0.75,0.33,0.29,0.03,-2078,-30,-1492,0%,0%,0,1
329,Dawidsonek,MID,18,27.8%,1.9,3,2.9,2.6,8.7,391,30.9,509,1.09,0.46,0.23,0.15,-585,-7,-361,5.6%,11.1%,0,6
330,Day1,ADC,37,16.2%,1.7,1.8,2.6,2.5,8.7,377,29.5,428,1.07,0.36,0.30,0.11,-750,-13,-410,27%,10.8%,0,-
331,Days4fun,JUNGLE,4,25%,2.3,3,4,6,4.5,320,15.2,271,1.42,0.53,0.35,0.32,74,-6,8,50%,0%,0,1
332,Deadly,ADC,61,68.9%,5,4.5,1.9,5,9.8,465,29.1,515,1.29,0.36,0.42,0.11,404,10,189,21.3%,13.1%,1,8
333,Decak,TOP,8,0%,0.9,1.8,4.3,2,6.7,305,19.6,312,0.68,0.35,0.12,0.03,-742,-16,-473,0%,12.5%,0,3
334,Decay,MID,17,35.3%,2.6,4.6,3.4,4.1,7.9,393,24.1,482,1.09,0.45,0.24,0.17,-498,-6,-319,0%,0%,0,13
335,Decoy,SUPPORT,42,40.5%,3.8,0.5,2,6.9,1.4,249,10.3,169,2.49,1.35,0.36,0.42,77,-1,99,28.6%,0%,0,-
336,Defles,ADC,47,61.7%,5.3,3.4,1.7,5.7,9.7,436,29.8,576,1.02,0.32,0.30,0.14,58,5,152,25.5%,4.3%,0,7
